Question_stim,stim,word,color,sound_target,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,target_quest.started,target_quest.stopped,polygon.started,polygon.stopped,target_word.started,target_word.stopped,target_sound.started,target_sound.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,8.576059599989094,None,space,1.7877005999907851,8.576059599989094,None,,,,,,,,,1,001,2022-03-21_17h17.32.502,TRY1,2022.1.1,59.98533958310565,
האם את גרה באשדוד?,whiteNoise,שער,grey,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\PinkNoise.wav,0,0,0,1,0,0,0,2,,,,,,,10.454655000008643,None,11.901469000033103,None,13.901218399987556,None,13.90190964002395,None,1,001,2022-03-21_17h17.32.502,TRY1,2022.1.1,59.98533958310565,
האם את גרה באשדוד?,no,אל,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\NOhebYardenSHORT.wav,0,0,0,1,0,1,1,1,,,,,,,,,14.601346699986607,None,16.6008761000121,None,16.601696839986836,None,1,001,2022-03-21_17h17.32.502,TRY1,2022.1.1,59.98533958310565,
האם את גרה באשדוד?,yes,ןכ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\YEShebYardenSHORT.wav,0,0,0,1,0,2,2,0,,,,,,,,,17.300886600045487,None,19.30058599996846,None,19.301148739957718,None,1,001,2022-03-21_17h17.32.502,TRY1,2022.1.1,59.98533958310565,
האם את גרה באשדוד?,no,אל,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\NOhebYardenSHORT.wav,0,0,0,1,1,0,3,1,,,,,,,,,20.00104070000816,None,22.000313899945468,None,22.00046324004652,None,1,001,2022-03-21_17h17.32.502,TRY1,2022.1.1,59.98533958310565,
