Question_stim,stim,word,color,sound_target,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,target_quest.started,target_quest.stopped,polygon.started,polygon.stopped,target_word.started,target_word.stopped,target_sound.started,target_sound.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,7.410638100001961,None,space,0.45135949994437397,7.410638100001961,None,,,,,,,,,1,001,2022-03-21_17h20.18.907,TRY1,2022.1.1,60.01428341040038,
האם את גרה באשדוד?,no,אל,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\NOhebYardenSHORT.wav,0,0,0,1,0,0,0,1,,,,,,,7.905584899941459,None,9.402774999965914,None,11.402383900014684,None,11.402742099983152,None,1,001,2022-03-21_17h20.18.907,TRY1,2022.1.1,60.01428341040038,
האם את גרה באשדוד?,yes,ןכ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\YEShebYardenSHORT.wav,0,0,0,1,0,1,1,0,,,,,,,,,12.102862100000493,None,14.102009500027634,None,14.102543599938508,None,1,001,2022-03-21_17h20.18.907,TRY1,2022.1.1,60.01428341040038,
האם את גרה באשדוד?,yes,ןכ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\YEShebYardenSHORT.wav,0,0,0,1,0,2,2,0,,,,,,,,,14.803106499952264,None,16.801910000038333,None,16.801771599950733,None,1,001,2022-03-21_17h20.18.907,TRY1,2022.1.1,60.01428341040038,
האם את גרה באשדוד?,no,אל,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\NOhebYardenSHORT.wav,0,0,0,1,1,0,3,1,,,,,,,,,17.502876700018533,None,19.501330900005996,None,19.501302499941083,None,1,001,2022-03-21_17h20.18.907,TRY1,2022.1.1,60.01428341040038,
האם את גרה באשדוד?,whiteNoise,שער,grey,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\PinkNoise.wav,0,0,0,1,1,1,4,2,,,,,,,,,20.20173440000508,None,22.200937599991448,None,22.201029700029174,None,1,001,2022-03-21_17h20.18.907,TRY1,2022.1.1,60.01428341040038,
האם את גרה באשדוד?,whiteNoise,שער,grey,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\PinkNoise.wav,0,0,0,1,1,2,5,2,,,,,,,,,22.90160330000799,None,24.901275799958967,None,24.900979199947322,None,1,001,2022-03-21_17h20.18.907,TRY1,2022.1.1,60.01428341040038,
האם את גרה באשדוד?,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,1,001,2022-03-21_17h20.18.907,TRY1,2022.1.1,60.01428341040038,
האם לאריאל יש שני בנים?,no,אל,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\NOhebYardenSHORT.wav,0,1,1,3,0,0,0,1,,,,,,,25.600857399986126,None,27.100659999996424,None,29.100437599932775,None,29.100548499997238,None,1,001,2022-03-21_17h20.18.907,TRY1,2022.1.1,60.01428341040038,
האם לאריאל יש שני בנים?,whiteNoise,שער,grey,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\PinkNoise.wav,0,1,1,3,0,1,1,2,,,,,,,,,29.800570899969898,None,31.800015099928714,None,31.800180499942506,None,1,001,2022-03-21_17h20.18.907,TRY1,2022.1.1,60.01428341040038,
האם לאריאל יש שני בנים?,yes,ןכ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\YEShebYardenSHORT.wav,0,1,1,3,0,2,2,0,,,,,,,,,32.5002326000249,None,34.4996175999986,None,34.49972280001966,None,1,001,2022-03-21_17h20.18.907,TRY1,2022.1.1,60.01428341040038,
האם לאריאל יש שני בנים?,whiteNoise,שער,grey,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\PinkNoise.wav,0,1,1,3,1,0,3,2,,,,,,,,,35.19989009993151,None,37.19979149999563,None,37.199852000025565,None,1,001,2022-03-21_17h20.18.907,TRY1,2022.1.1,60.01428341040038,
האם לאריאל יש שני בנים?,yes,ןכ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\YEShebYardenSHORT.wav,0,1,1,3,1,1,4,0,,,,,,,,,37.89935219998006,None,39.898799199960195,None,39.899445700028444,None,1,001,2022-03-21_17h20.18.907,TRY1,2022.1.1,60.01428341040038,
האם לאריאל יש שני בנים?,no,אל,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\NOhebYardenSHORT.wav,0,1,1,3,1,2,5,1,,,,,,,,,40.5990944999503,None,42.59845980000682,None,42.59890529994154,None,1,001,2022-03-21_17h20.18.907,TRY1,2022.1.1,60.01428341040038,
האם לאריאל יש שני בנים?,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,1,001,2022-03-21_17h20.18.907,TRY1,2022.1.1,60.01428341040038,
האם לאריאל יש שני בנים?,yes,ןכ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\YEShebYardenSHORT.wav,0,2,2,3,0,0,0,0,,,,,,,43.298931299941614,None,44.79823219997343,None,46.79803009994794,None,46.798025599948595,None,1,001,2022-03-21_17h20.18.907,TRY1,2022.1.1,60.01428341040038,
האם לאריאל יש שני בנים?,whiteNoise,שער,grey,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\PinkNoise.wav,0,2,2,3,0,1,1,2,,,,,,,,,47.498086599982344,None,49.498480499954894,None,49.498095199966336,None,1,001,2022-03-21_17h20.18.907,TRY1,2022.1.1,60.01428341040038,
האם לאריאל יש שני בנים?,no,אל,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\NOhebYardenSHORT.wav,0,2,2,3,0,2,2,1,,,,,,,,,50.19794300000649,None,52.19727719994262,None,52.19779509996297,None,1,001,2022-03-21_17h20.18.907,TRY1,2022.1.1,60.01428341040038,
האם לאריאל יש שני בנים?,whiteNoise,שער,grey,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\PinkNoise.wav,0,2,2,3,1,0,3,2,,,,,,,,,52.897846999927424,None,54.8976903000148,None,54.89761619995115,None,1,001,2022-03-21_17h20.18.907,TRY1,2022.1.1,60.01428341040038,
האם לאריאל יש שני בנים?,yes,ןכ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\YEShebYardenSHORT.wav,0,2,2,3,1,1,4,0,,,,,,,,,55.5971934000263,None,57.59658140002284,None,57.59697749993065,None,1,001,2022-03-21_17h20.18.907,TRY1,2022.1.1,60.01428341040038,
האם לאריאל יש שני בנים?,no,אל,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\NOhebYardenSHORT.wav,0,2,2,3,1,2,5,1,,,,,,,,,58.29698129999451,None,60.2963313999353,None,60.29679009997053,None,1,001,2022-03-21_17h20.18.907,TRY1,2022.1.1,60.01428341040038,
האם לאריאל יש שני בנים?,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,1,001,2022-03-21_17h20.18.907,TRY1,2022.1.1,60.01428341040038,
האם השם שלך הוא חנה?,no,אל,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\NOhebYardenSHORT.wav,0,3,3,0,0,0,0,1,,,,,,,60.99606339994352,None,62.49578669993207,None,64.49599530000705,None,64.49637149999617,None,1,001,2022-03-21_17h20.18.907,TRY1,2022.1.1,60.01428341040038,
