Question_stim,stim,word,color,sound_target,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,target_quest.started,target_quest.stopped,polygon.started,polygon.stopped,target_word.started,target_word.stopped,target_sound.started,target_sound.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,7.999609699938446,None,space,0.5886859999736771,7.999609699938446,None,,,,,,,,,1,001,2022-03-21_16h49.05.060,TRY1,2022.1.1,59.99739612111953,
האם יש לך חמישה ילדים?,whiteNoise,שער,grey,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\PinkNoise.wav,0,0,0,2,0,0,0,2,,,,,,,8.644783800002187,None,10.135938199935481,None,12.135045900009573,None,12.135032659908756,None,1,001,2022-03-21_16h49.05.060,TRY1,2022.1.1,59.99739612111953,
האם יש לך חמישה ילדים?,yes,ןכ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\YEShebYardenSHORT.wav,0,0,0,2,0,1,1,0,,,,,,,,,12.83460840000771,None,14.83583389990963,None,14.834970359969883,None,1,001,2022-03-21_16h49.05.060,TRY1,2022.1.1,59.99739612111953,
האם יש לך חמישה ילדים?,whiteNoise,שער,grey,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\PinkNoise.wav,0,0,0,2,0,2,2,2,,,,,,,,,15.535321499919519,None,17.53414799994789,None,17.534526159917004,None,1,001,2022-03-21_16h49.05.060,TRY1,2022.1.1,59.99739612111953,
האם יש לך חמישה ילדים?,no,אל,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\NOhebYardenSHORT.wav,0,0,0,2,1,0,3,1,,,,,,,,,18.23449930001516,None,20.233777799992822,None,20.234442559932358,None,1,001,2022-03-21_16h49.05.060,TRY1,2022.1.1,59.99739612111953,
