Question_stim,stim,word,color,sound_target,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,target_quest.started,target_quest.stopped,polygon.started,polygon.stopped,target_word.started,target_word.stopped,target_sound.started,target_sound.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,9.793315199902281,None,space,8.818621099926531,9.793315199902281,None,,,,,,,,,1,001,2022-03-28_10h23.22.508,TRY1,2022.1.1,59.989729791796535,
האם לאריאל יש שני בנים?,yes,כן,black,YEShebYardenSHORT.wav,0,0,0,3,0,0,0,0,,,,,,,18.765901200007647,None,20.17253079987131,None,22.16019509988837,None,22.159806109918282,None,1,001,2022-03-28_10h23.22.508,TRY1,2022.1.1,59.989729791796535,
האם לאריאל יש שני בנים?,whiteNoise,רעש,grey,PinkNoise.wav,0,0,0,3,0,1,1,2,,,,,,,,,22.8600155999884,None,24.859566800063476,None,24.859326509945095,None,1,001,2022-03-28_10h23.22.508,TRY1,2022.1.1,59.989729791796535,
האם לאריאל יש שני בנים?,no,לא,black,NOhebYardenSHORT.wav,0,0,0,3,0,2,2,1,,,,,,,,,25.559675199911,None,27.559434700058773,None,27.559086210047827,None,1,001,2022-03-28_10h23.22.508,TRY1,2022.1.1,59.989729791796535,
האם לאריאל יש שני בנים?,yes,כן,black,YEShebYardenSHORT.wav,0,0,0,3,1,0,3,0,,,,,,,,,28.259529900038615,None,30.259132700040936,None,30.258660010015593,None,1,001,2022-03-28_10h23.22.508,TRY1,2022.1.1,59.989729791796535,
האם לאריאל יש שני בנים?,no,לא,black,NOhebYardenSHORT.wav,0,0,0,3,1,1,4,1,,,,,,,,,30.95904939994216,None,32.95881909993477,None,32.958268410013986,None,1,001,2022-03-28_10h23.22.508,TRY1,2022.1.1,59.989729791796535,
האם לאריאל יש שני בנים?,whiteNoise,רעש,grey,PinkNoise.wav,0,0,0,3,1,2,5,2,,,,,,,,,33.658961799927056,None,35.65811840002425,None,35.65794490994885,None,1,001,2022-03-28_10h23.22.508,TRY1,2022.1.1,59.989729791796535,
האם לאריאל יש שני בנים?,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,1,001,2022-03-28_10h23.22.508,TRY1,2022.1.1,59.989729791796535,
,,,,,,,,,,,,,,,,,,,36.35835110000335,None,37.85841239988804,None,,,,,,,,,,,
