Question_stim,stim,word,color,sound_target,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,target_quest.started,target_quest.stopped,polygon.started,polygon.stopped,target_word.started,target_word.stopped,target_sound.started,target_sound.stopped,how_much.started,how_much.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,8.243832099949941,None,space,1.0705677003134042,8.243832099949941,None,,,,,,,,,,,1,001,2022-03-28_10h39.55.844,TRY1,2022.1.1,60.050718789857086,
האם איתן גר בישראל?,yes,כן,black,YEShebYardenSHORT.wav,0,0,0,4,0,0,0,0,,,,,,,9.36116430000402,None,10.861748799914494,None,12.861180499894544,None,12.861441569891758,None,,,1,001,2022-03-28_10h39.55.844,TRY1,2022.1.1,60.050718789857086,
האם איתן גר בישראל?,no,לא,black,NOhebYardenSHORT.wav,0,0,0,4,0,1,1,1,,,,,,,,,13.561174500035122,None,15.561559199821204,None,15.561101669934578,None,,,1,001,2022-03-28_10h39.55.844,TRY1,2022.1.1,60.050718789857086,
האם איתן גר בישראל?,yes,כן,black,YEShebYardenSHORT.wav,0,0,0,4,0,2,2,0,,,,,,,,,16.26072090002708,None,18.261882399907336,None,18.260558069939727,None,,,1,001,2022-03-28_10h39.55.844,TRY1,2022.1.1,60.050718789857086,
האם איתן גר בישראל?,no,לא,black,NOhebYardenSHORT.wav,0,0,0,4,1,0,3,1,,,,,,,,,18.96044239983894,None,20.96019749995321,None,20.960468170023525,None,,,1,001,2022-03-28_10h39.55.844,TRY1,2022.1.1,60.050718789857086,
האם איתן גר בישראל?,whiteNoise,רעש,grey,PinkNoise.wav,0,0,0,4,1,1,4,2,,,,,,,,,21.65990430000238,None,23.65990879992023,None,23.65980866996106,None,,,1,001,2022-03-28_10h39.55.844,TRY1,2022.1.1,60.050718789857086,
האם איתן גר בישראל?,whiteNoise,רעש,grey,PinkNoise.wav,0,0,0,4,1,2,5,2,,,,,,,,,24.359745600027964,None,26.359279699856415,None,26.359548270027155,None,,,1,001,2022-03-28_10h39.55.844,TRY1,2022.1.1,60.050718789857086,
האם איתן גר בישראל?,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,27.05974860000424,None,1,001,2022-03-28_10h39.55.844,TRY1,2022.1.1,60.050718789857086,
