Question_stim,stim,word,color,sound_target,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,target_quest.started,target_quest.stopped,polygon.started,polygon.stopped,target_word.started,target_word.stopped,target_sound.started,target_sound.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,7.798602799884975,None,space,1.5553818000480533,7.798602799884975,None,,,,,,,,,1,001,2022-03-28_10h28.10.422,TRY1,2022.1.1,59.94977401792016,
האם איתן גר בישראל?,whiteNoise,רעש,grey,PinkNoise.wav,0,0,0,4,0,0,0,2,,,,,,,9.422636500094086,None,10.903241199906915,None,12.901676200097427,None,12.902545789885334,None,1,001,2022-03-28_10h28.10.422,TRY1,2022.1.1,59.94977401792016,
האם איתן גר בישראל?,yes,כן,black,YEShebYardenSHORT.wav,0,0,0,4,0,1,1,0,,,,,,,,,13.60152929998003,None,15.601217099931091,None,15.60182458993513,None,1,001,2022-03-28_10h28.10.422,TRY1,2022.1.1,59.94977401792016,
האם איתן גר בישראל?,no,לא,black,NOhebYardenSHORT.wav,0,0,0,4,0,2,2,1,,,,,,,,,16.30128560005687,None,18.301112900022417,None,18.301588989957235,None,1,001,2022-03-28_10h28.10.422,TRY1,2022.1.1,59.94977401792016,
