Question_stim,stim,word,color,sound_target,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,target_quest.started,target_quest.stopped,polygon.started,polygon.stopped,target_word.started,target_word.stopped,target_sound.started,target_sound.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,11.915366200031713,13.923328100005165,space,5.724064299836755,11.915366200031713,None,,,,,,,,,1,001,2022-03-28_11h41.40.408,TRY1,2022.1.1,59.92541683035127,
האם לאריאל יש שני בנים?,yes,כן,black,YEShebYardenSHORT.wav,0,0,0,3,0,0,0,0,,,,,,,17.68856030004099,None,19.188602100126445,None,20.188374700024724,None,20.189018170000054,None,1,001,2022-03-28_11h41.40.408,TRY1,2022.1.1,59.92541683035127,
האם לאריאל יש שני בנים?,no,לא,black,NOhebYardenSHORT.wav,0,0,0,3,0,1,1,1,,,,,,,,,20.888846999965608,None,21.888497600099072,None,21.888957969960757,None,1,001,2022-03-28_11h41.40.408,TRY1,2022.1.1,59.92541683035127,
האם לאריאל יש שני בנים?,whiteNoise,רעש,grey,PinkNoise.wav,0,0,0,3,0,2,2,2,,,,,,,,,22.58836259995587,None,23.588030300103128,None,23.589005469926633,None,1,001,2022-03-28_11h41.40.408,TRY1,2022.1.1,59.92541683035127,
