Question_stim,stim,word,color,sound_target,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,target_quest.started,target_quest.stopped,polygon.started,polygon.stopped,target_word.started,target_word.stopped,target_sound.started,target_sound.stopped,how_much.started,how_much.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,7.9572953002061695,None,space,0.46011149999685585,7.9572953002061695,None,,,,,,,,,,,1,001,2022-03-28_10h50.31.610,TRY1,2022.1.1,59.97864763436261,
האם יש לך חמישה ילדים?,no,לא,black,NOhebYardenSHORT.wav,0,0,0,2,0,0,0,1,,,,,,,8.46893860003911,None,9.957700000144541,None,11.95901930006221,None,11.959185680095107,None,,,1,001,2022-03-28_10h50.31.610,TRY1,2022.1.1,59.97864763436261,
האם יש לך חמישה ילדים?,whiteNoise,רעש,grey,PinkNoise.wav,0,0,0,2,0,1,1,2,,,,,,,,,12.659391600172967,None,14.658554500201717,None,14.659478080179543,None,,,1,001,2022-03-28_10h50.31.610,TRY1,2022.1.1,59.97864763436261,
האם יש לך חמישה ילדים?,yes,כן,black,YEShebYardenSHORT.wav,0,0,0,2,0,2,2,0,,,,,,,,,15.360935300122947,None,17.358455000212416,None,17.358512380113826,None,,,1,001,2022-03-28_10h50.31.610,TRY1,2022.1.1,59.97864763436261,
האם יש לך חמישה ילדים?,whiteNoise,רעש,grey,PinkNoise.wav,0,0,0,2,1,0,3,2,,,,,,,,,18.058186000213027,None,20.05781940021552,None,20.058448380045593,None,,,1,001,2022-03-28_10h50.31.610,TRY1,2022.1.1,59.97864763436261,
האם יש לך חמישה ילדים?,no,לא,black,NOhebYardenSHORT.wav,0,0,0,2,1,1,4,1,,,,,,,,,20.757933699991554,None,22.75796560011804,None,22.75878718001768,None,,,1,001,2022-03-28_10h50.31.610,TRY1,2022.1.1,59.97864763436261,
האם יש לך חמישה ילדים?,yes,כן,black,YEShebYardenSHORT.wav,0,0,0,2,1,2,5,0,,,,,,,,,23.457165700150654,None,25.45710420003161,None,25.457466280041263,None,,,1,001,2022-03-28_10h50.31.610,TRY1,2022.1.1,59.97864763436261,
האם יש לך חמישה ילדים?,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,26.15707890014164,None,1,001,2022-03-28_10h50.31.610,TRY1,2022.1.1,59.97864763436261,
