Question_stim,stim,word,color,sound_target,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_2.started,image_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,sound_1.started,sound_1.stopped,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,target_quest.started,target_quest.stopped,polygon.started,polygon.stopped,target_word.started,target_word.stopped,target_sound.started,target_sound.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,7.104325299849734,None,space,1.1049579000100493,7.104325299849734,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-04-02_21h18.24.361,TRY1,2022.1.1,60.252542479551316,
,,,,,,,,,,,,,,,,,,,8.23686879989691,None,space,1.2125099999830127,8.23686879989691,None,,,,,,,,,,,,,,,,,1,001,2022-04-02_21h18.24.361,TRY1,2022.1.1,60.252542479551316,
,,,,,,,,,,,,,,,,,,,,,,,,,9.481737869861536,None,10.480880500050262,None,space,1.0103126999456435,10.480880500050262,None,,,,,,,,,1,001,2022-04-02_21h18.24.361,TRY1,2022.1.1,60.252542479551316,
האם השם שלך הוא חנה?,no,אל,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\NOhebYardenSHORT.wav,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,11.529238499933854,None,13.030306899920106,None,13.730326100019738,None,13.731052069994622,None,1,001,2022-04-02_21h18.24.361,TRY1,2022.1.1,60.252542479551316,
האם השם שלך הוא חנה?,indicator,דמ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\INDICATORhebYarden.wav,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,14.731127199949697,None,15.430530400015414,None,15.430718269967475,None,1,001,2022-04-02_21h18.24.361,TRY1,2022.1.1,60.252542479551316,
האם השם שלך הוא חנה?,minister,רש,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\MINISTERhebYarden.wav,0,0,0,0,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,16.430043099913746,None,17.12957919994369,None,17.13017246995587,None,1,001,2022-04-02_21h18.24.361,TRY1,2022.1.1,60.252542479551316,
האם השם שלך הוא חנה?,came,אב,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\CAMEhebYarden.wav,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,18.130115899955854,None,18.83011809992604,None,18.830563969979995,None,1,001,2022-04-02_21h18.24.361,TRY1,2022.1.1,60.252542479551316,
האם השם שלך הוא חנה?,candle,רנ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\CANDLEhebYarden.wav,0,0,0,0,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,19.8296846000012,None,20.529638999840245,None,20.529569269926288,None,1,001,2022-04-02_21h18.24.361,TRY1,2022.1.1,60.252542479551316,
האם השם שלך הוא חנה?,came,אב,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\CAMEhebYarden.wav,0,0,0,0,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,21.529554199893028,None,22.229649599874392,None,22.229777269833722,None,1,001,2022-04-02_21h18.24.361,TRY1,2022.1.1,60.252542479551316,
האם השם שלך הוא חנה?,hot,םח,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\HOThebYarden.wav,0,0,0,0,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,23.229271699907258,None,23.929118799977005,None,23.92932067003567,None,1,001,2022-04-02_21h18.24.361,TRY1,2022.1.1,60.252542479551316,
האם השם שלך הוא חנה?,whiteNoise,שער,grey,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\PinkNoise.wav,0,0,0,0,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,24.929287099977955,None,25.63169589987956,None,25.63050317002926,None,1,001,2022-04-02_21h18.24.361,TRY1,2022.1.1,60.252542479551316,
האם השם שלך הוא חנה?,hot,םח,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\HOThebYarden.wav,0,0,0,0,1,0,8,4,,,,,,,,,,,,,,,,,,,,,,,26.628635399974883,None,27.32885399996303,None,27.32884516993072,None,1,001,2022-04-02_21h18.24.361,TRY1,2022.1.1,60.252542479551316,
האם השם שלך הוא חנה?,yes,ןכ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\YEShebYardenSHORT.wav,0,0,0,0,1,1,9,0,,,,,,,,,,,,,,,,,,,,,,,28.328664999920875,None,29.028913700021803,None,29.028655069950037,None,1,001,2022-04-02_21h18.24.361,TRY1,2022.1.1,60.252542479551316,
האם השם שלך הוא חנה?,yes,ןכ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\YEShebYardenSHORT.wav,0,0,0,0,1,2,10,0,,,,,,,,,,,,,,,,,,,,,,,30.029394399840385,None,30.72830309998244,None,30.72837646987755,None,1,001,2022-04-02_21h18.24.361,TRY1,2022.1.1,60.252542479551316,
האם השם שלך הוא חנה?,candle,רנ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\CANDLEhebYarden.wav,0,0,0,0,1,3,11,6,,,,,,,,,,,,,,,,,,,,,,,31.728179399855435,None,32.428142399992794,None,32.42804406986106,None,1,001,2022-04-02_21h18.24.361,TRY1,2022.1.1,60.252542479551316,
