Question_stim,stim,word,color,sound_target,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,target_quest.started,target_quest.stopped,polygon.started,polygon.stopped,target_word.started,target_word.stopped,target_sound.started,target_sound.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,8.588740600040182,None,space,0.7689295001327991,8.588740600040182,None,,,,,,,,,1,001,2022-03-28_11h46.31.653,TRY1,2022.1.1,59.89713262028734,
האם לאריאל יש שני בנים?,no,לא,black,NOhebYardenSHORT.wav,0,0,0,3,0,0,0,1,,,,,,,9.403296299977228,None,10.891561199910939,None,11.39110939996317,None,11.391487890016288,None,1,001,2022-03-28_11h46.31.653,TRY1,2022.1.1,59.89713262028734,
האם לאריאל יש שני בנים?,yes,כן,black,YEShebYardenSHORT.wav,0,0,0,3,0,1,1,0,,,,,,,,,12.091333199990913,None,12.590968400007114,None,12.591672689979896,None,1,001,2022-03-28_11h46.31.653,TRY1,2022.1.1,59.89713262028734,
האם לאריאל יש שני בנים?,no,לא,black,NOhebYardenSHORT.wav,0,0,0,3,0,2,2,1,,,,,,,,,13.291057699825615,None,13.79090329981409,None,13.791174989985302,None,1,001,2022-03-28_11h46.31.653,TRY1,2022.1.1,59.89713262028734,
האם לאריאל יש שני בנים?,whiteNoise,רעש,grey,PinkNoise.wav,0,0,0,3,1,0,3,2,,,,,,,,,14.491444599814713,None,14.99074379983358,None,14.992644789954648,None,1,001,2022-03-28_11h46.31.653,TRY1,2022.1.1,59.89713262028734,
האם לאריאל יש שני בנים?,yes,כן,black,YEShebYardenSHORT.wav,0,0,0,3,1,1,4,0,,,,,,,,,15.69104369985871,None,16.191116799833253,None,16.191301189921795,None,1,001,2022-03-28_11h46.31.653,TRY1,2022.1.1,59.89713262028734,
