Question_stim,stim,word,color,sound_target,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_2.started,image_2.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,sound_1.started,sound_1.stopped,image.started,image.stopped,target_quest.started,target_quest.stopped,polygon.started,polygon.stopped,target_word.started,target_word.stopped,target_sound.started,target_sound.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,7.239825000055134,None,11.184270000085235,None,space,2.5483291000127792,11.184270000085235,None,,,,,,,,,,,,,1,001,2022-04-03_13h41.17.729,TRY1,2022.1.1,59.97123785457816,
האם את גרה באשדוד?,whiteNoise,שער,grey,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\PinkNoise.wav,0,0,0,1,0,0,0,2,,,,,,,,,13.760496099921875,None,14.758148800116032,None,24.77248389995657,None,26.777678299928084,None,27.475258599966764,None,27.473046699981204,None,1,001,2022-04-03_13h41.17.729,TRY1,2022.1.1,59.97123785457816,
האם את גרה באשדוד?,candle,רנ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\CANDLEhebYarden.wav,0,0,0,1,0,1,1,6,,,,,,,,,,,,,,,28.473383400123566,None,29.17318859999068,None,29.172854599985293,None,1,001,2022-04-03_13h41.17.729,TRY1,2022.1.1,59.97123785457816,
,,,,,,,,,,,,,,,,,,,,,,,,,,,30.173287200042978,None,,,,,,,,,,,
