Question_stim,stim,word,color,sound_target,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,target_quest.started,target_quest.stopped,polygon.started,polygon.stopped,target_word.started,target_word.stopped,target_sound.started,target_sound.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,8.214587799971923,None,space,1.108451700070873,8.214587799971923,None,,,,,,,,,1,001,2022-03-28_10h31.40.910,TRY1,2022.1.1,60.03417148696395,
האם לאריאל יש שני בנים?,whiteNoise,רעש,grey,PinkNoise.wav,0,0,0,3,0,0,0,2,,,,,,,9.388784300070256,None,10.87168399989605,None,12.871542500099167,None,12.871746650105342,None,1,001,2022-03-28_10h31.40.910,TRY1,2022.1.1,60.03417148696395,
האם לאריאל יש שני בנים?,no,לא,black,NOhebYardenSHORT.wav,0,0,0,3,0,1,1,1,,,,,,,,,13.571236599935219,None,15.571148300077766,None,15.57125114989467,None,1,001,2022-03-28_10h31.40.910,TRY1,2022.1.1,60.03417148696395,
האם לאריאל יש שני בנים?,yes,כן,black,YEShebYardenSHORT.wav,0,0,0,3,0,2,2,0,,,,,,,,,16.270700699882582,None,18.27079199999571,None,18.27074294993654,None,1,001,2022-03-28_10h31.40.910,TRY1,2022.1.1,60.03417148696395,
האם לאריאל יש שני בנים?,yes,כן,black,YEShebYardenSHORT.wav,0,0,0,3,1,0,3,0,,,,,,,,,18.970675299875438,None,20.970458399970084,None,20.970561450021343,None,1,001,2022-03-28_10h31.40.910,TRY1,2022.1.1,60.03417148696395,
האם לאריאל יש שני בנים?,whiteNoise,רעש,grey,PinkNoise.wav,0,0,0,3,1,1,4,2,,,,,,,,,21.67031729989685,None,23.670062700053677,None,23.670193550083788,None,1,001,2022-03-28_10h31.40.910,TRY1,2022.1.1,60.03417148696395,
