Question_stim,stim,word,color,sound_target,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_2.started,image_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,sound_1.started,sound_1.stopped,image.started,image.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,target_quest.started,target_quest.stopped,polygon.started,polygon.stopped,target_word.started,target_word.stopped,target_sound.started,target_sound.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,7.418388900114223,None,space,0.4226351997349411,7.418388900114223,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-04-03_17h11.12.391,TRY1,2022.1.1,60.05003367755967,
,,,,,,,,,,,,,,,,,,,7.8765178001485765,None,space,0.3706607997883111,7.8765178001485765,None,,,,,,,,,,,,,,,,,1,001,2022-04-03_17h11.12.391,TRY1,2022.1.1,60.05003367755967,
,,,,,,,,,,,,,,,,,,,,,,,,,8.270295719965361,None,9.270597300026566,None,space,0.046471199952065945,9.270597300026566,None,,,,,,,,,1,001,2022-04-03_17h11.12.391,TRY1,2022.1.1,60.05003367755967,
האם השם שלך הוא חנה?,yes,ןכ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\YEShebYardenSHORT.wav,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,9.348316899966449,None,11.352917399955913,None,12.05478010000661,None,12.053482920047827,None,1,001,2022-04-03_17h11.12.391,TRY1,2022.1.1,60.05003367755967,
