Question_stim,stim,word,color,sound_target,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_2.started,image_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,sound_1.started,sound_1.stopped,image.started,image.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,target_quest.started,target_quest.stopped,polygon.started,polygon.stopped,target_word.started,target_word.stopped,target_sound.started,target_sound.stopped,how_much.started,how_much.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,7.669337299885228,None,space,1.2701225001364946,7.669337299885228,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-04-04_19h05.24.317,TRY1,2022.1.1,60.00362419061497,
,,,,,,,,,,,,,,,,,,,8.96810149983503,None,space,5.7279933001846075,8.96810149983503,None,,,,,,,,,,,,,,,,,,,1,001,2022-04-04_19h05.24.317,TRY1,2022.1.1,60.00362419061497,
,,,,,,,,,,,,,,,,,,,,,,,,,14.724778359965422,None,15.724049999844283,None,space,2.12162800016813,15.724049999844283,None,,,,,,,,,,,1,001,2022-04-04_19h05.24.317,TRY1,2022.1.1,60.00362419061497,
האם השם שלך הוא חנה?,yes,ןכ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\YEShebYardenSHORT.wav,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,17.88529589981772,None,19.890927999978885,None,20.590570899890736,None,20.59034515984822,None,,,1,001,2022-04-04_19h05.24.317,TRY1,2022.1.1,60.00362419061497,
האם השם שלך הוא חנה?,no,אל,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\NOhebYardenSHORT.wav,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,21.589716899907216,None,22.28960259980522,None,22.290112260007298,None,,,1,001,2022-04-04_19h05.24.317,TRY1,2022.1.1,60.00362419061497,
האם השם שלך הוא חנה?,whiteNoise,שער,grey,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\PinkNoise.wav,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,23.289656799985096,None,23.992090499959886,None,23.98999886002857,None,,,1,001,2022-04-04_19h05.24.317,TRY1,2022.1.1,60.00362419061497,
האם השם שלך הוא חנה?,came,אב,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\CAMEhebYarden.wav,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,24.989107499830425,None,25.689056099858135,None,25.689507659967056,None,,,1,001,2022-04-04_19h05.24.317,TRY1,2022.1.1,60.00362419061497,
האם השם שלך הוא חנה?,hot,םח,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\HOThebYarden.wav,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,26.689490899909288,None,27.389392599929124,None,27.389346559974364,None,,,1,001,2022-04-04_19h05.24.317,TRY1,2022.1.1,60.00362419061497,
האם השם שלך הוא חנה?,indicator,דמ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\INDICATORhebYarden.wav,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,28.389348999829963,None,29.088491699891165,None,29.089165859832427,None,,,1,001,2022-04-04_19h05.24.317,TRY1,2022.1.1,60.00362419061497,
האם השם שלך הוא חנה?,candle,רנ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\CANDLEhebYarden.wav,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,30.089341699844226,None,30.789064300013706,None,30.789214959810487,None,,,1,001,2022-04-04_19h05.24.317,TRY1,2022.1.1,60.00362419061497,
האם השם שלך הוא חנה?,minister,רש,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\MINISTERhebYarden.wav,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,31.788745599798858,None,32.489403599873185,None,32.489634259813464,None,,,1,001,2022-04-04_19h05.24.317,TRY1,2022.1.1,60.00362419061497,
האם השם שלך הוא חנה?,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.48870909982361,None,1,001,2022-04-04_19h05.24.317,TRY1,2022.1.1,60.00362419061497,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.992455299943686,None,36.9900355997961,None,,,,,,,,,,,,,
