image_2.started,image_2.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,sound_1.started,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
7.300462600076571,None,11.26057119993493,None,space,3.394169099861756,11.26057119993493,None,,,1,001,2022-04-03_13h43.04.511,TRY1,2022.1.1,60.008593240097724,
,,,,,,,,14.682788459933363,None,,,,,,,
