Question_stim,stim,word,color,sound_target,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_2.started,image_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,sound_1.started,sound_1.stopped,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,target_quest.started,target_quest.stopped,polygon.started,polygon.stopped,target_word.started,target_word.stopped,target_sound.started,target_sound.stopped,how_much.started,how_much.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,6.983521099900827,None,space,3.1590428999625146,6.983521099900827,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-04-02_21h06.40.818,TRY1,2022.1.1,60.06103397005371,
,,,,,,,,,,,,,,,,,,,10.165553000057116,None,space,1.345927899936214,10.165553000057116,None,,,,,,,,,,,,,,,,,,,1,001,2022-04-02_21h06.40.818,TRY1,2022.1.1,60.06103397005371,
,,,,,,,,,,,,,,,,,,,,,,,,,11.544799630017952,None,12.56048440001905,None,space,1.1755365999415517,12.56048440001905,None,,,,,,,,,,,1,001,2022-04-02_21h06.40.818,TRY1,2022.1.1,60.06103397005371,
האם את גרה באשדוד?,yes,כן,black,YEShebYardenSHORT.wav,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,13.774710200028494,None,15.276419699890539,None,15.988211199874058,None,15.993231459893288,None,,,1,001,2022-04-02_21h06.40.818,TRY1,2022.1.1,60.06103397005371,
האם את גרה באשדוד?,whiteNoise,רעש,grey,PinkNoise.wav,0,0,0,1,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,16.676681000040844,None,17.376264799851924,None,17.376300429878757,None,,,1,001,2022-04-02_21h06.40.818,TRY1,2022.1.1,60.06103397005371,
האם את גרה באשדוד?,no,לא,black,NOhebYardenSHORT.wav,0,0,0,1,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,18.076098300050944,None,18.776545899920166,None,18.776903829956428,None,,,1,001,2022-04-02_21h06.40.818,TRY1,2022.1.1,60.06103397005371,
האם את גרה באשדוד?,yes,כן,black,YEShebYardenSHORT.wav,0,0,0,1,1,0,3,0,,,,,,,,,,,,,,,,,,,,,,,19.47598770004697,None,20.175850099883974,None,20.17597883003764,None,,,1,001,2022-04-02_21h06.40.818,TRY1,2022.1.1,60.06103397005371,
האם את גרה באשדוד?,whiteNoise,רעש,grey,PinkNoise.wav,0,0,0,1,1,1,4,2,,,,,,,,,,,,,,,,,,,,,,,20.8768635999877,None,21.575776600046083,None,21.575969829875977,None,,,1,001,2022-04-02_21h06.40.818,TRY1,2022.1.1,60.06103397005371,
האם את גרה באשדוד?,no,לא,black,NOhebYardenSHORT.wav,0,0,0,1,1,2,5,1,,,,,,,,,,,,,,,,,,,,,,,22.275469499872997,None,22.975337999872863,None,22.975847630016506,None,,,1,001,2022-04-02_21h06.40.818,TRY1,2022.1.1,60.06103397005371,
האם את גרה באשדוד?,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.675392400007695,None,1,001,2022-04-02_21h06.40.818,TRY1,2022.1.1,60.06103397005371,
האם לאריאל יש שני בנים?,no,לא,black,NOhebYardenSHORT.wav,0,1,1,3,0,0,0,1,,,,,,,,,,,,,,,,,,,,,25.17544039990753,None,26.675552899949253,None,27.37484069983475,None,27.375100030051545,None,,,1,001,2022-04-02_21h06.40.818,TRY1,2022.1.1,60.06103397005371,
האם לאריאל יש שני בנים?,whiteNoise,רעש,grey,PinkNoise.wav,0,1,1,3,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,28.075026500038803,None,28.774631999898702,None,28.775049529923127,None,,,1,001,2022-04-02_21h06.40.818,TRY1,2022.1.1,60.06103397005371,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.474568999838084,None,,,,,,,,,,,,,
