Question_stim,stim,word,color,sound_target,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_2.started,image_2.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,sound_1.started,sound_1.stopped,image.started,image.stopped,target_quest.started,target_quest.stopped,polygon.started,polygon.stopped,target_word.started,target_word.stopped,target_sound.started,target_sound.stopped,how_much.started,how_much.stopped,participant,session,date,expName,psychopyVersion,frameRate,
האם השם שלך הוא חנה?,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,53.84134600008838,None,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם לאריאל יש שני בנים?,candle,רנ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\CANDLEhebYarden.wav,0,1,1,3,0,0,0,6,,,,,,,,,,,,,55.34313410008326,None,57.344302099896595,None,58.04043549997732,None,58.041445889882745,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם לאריאל יש שני בנים?,whiteNoise,שער,grey,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\PinkNoise.wav,0,1,1,3,0,1,1,2,,,,,,,,,,,,,,,59.040811700047925,None,59.74025220004842,None,59.74125409000553,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם לאריאל יש שני בנים?,hot,םח,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\HOThebYarden.wav,0,1,1,3,0,2,2,4,,,,,,,,,,,,,,,60.74099599989131,None,61.44021199992858,None,61.44091068990529,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם לאריאל יש שני בנים?,indicator,דמ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\INDICATORhebYarden.wav,0,1,1,3,0,3,3,5,,,,,,,,,,,,,,,62.440326400101185,None,63.13993080006912,None,63.14027779004537,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם לאריאל יש שני בנים?,no,אל,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\NOhebYardenSHORT.wav,0,1,1,3,0,4,4,1,,,,,,,,,,,,,,,64.14064330002293,None,64.83964590006508,None,64.83983368999324,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם לאריאל יש שני בנים?,came,אב,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\CAMEhebYarden.wav,0,1,1,3,0,5,5,3,,,,,,,,,,,,,,,65.84031179989688,None,66.5392734000925,None,66.54030638993717,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם לאריאל יש שני בנים?,minister,רש,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\MINISTERhebYarden.wav,0,1,1,3,0,6,6,7,,,,,,,,,,,,,,,67.53980510006659,None,68.2395357999485,None,68.24046409004367,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם לאריאל יש שני בנים?,hot,םח,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\HOThebYarden.wav,0,1,1,3,0,7,7,4,,,,,,,,,,,,,,,69.23960119998083,None,69.93895310000516,None,69.93959499001502,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם לאריאל יש שני בנים?,minister,רש,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\MINISTERhebYarden.wav,0,1,1,3,1,0,8,7,,,,,,,,,,,,,,,70.9394414999988,None,71.63861789996736,None,71.6393454900477,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם לאריאל יש שני בנים?,indicator,דמ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\INDICATORhebYarden.wav,0,1,1,3,1,1,9,5,,,,,,,,,,,,,,,72.63900800002739,None,73.33881890005432,None,73.33919909005053,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם לאריאל יש שני בנים?,yes,ןכ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\YEShebYardenSHORT.wav,0,1,1,3,1,2,10,0,,,,,,,,,,,,,,,74.33906099991873,None,75.03830219991505,None,75.03940508994273,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם לאריאל יש שני בנים?,yes,ןכ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\YEShebYardenSHORT.wav,0,1,1,3,1,3,11,0,,,,,,,,,,,,,,,76.03863369999453,None,76.73799640010111,None,76.73851648988202,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם לאריאל יש שני בנים?,no,אל,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\NOhebYardenSHORT.wav,0,1,1,3,1,4,12,1,,,,,,,,,,,,,,,77.73854109994136,None,78.43831259990111,None,78.43858178998343,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם לאריאל יש שני בנים?,candle,רנ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\CANDLEhebYarden.wav,0,1,1,3,1,5,13,6,,,,,,,,,,,,,,,79.43838659999892,None,80.13771939999424,None,80.13824449004605,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם לאריאל יש שני בנים?,came,אב,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\CAMEhebYarden.wav,0,1,1,3,1,6,14,3,,,,,,,,,,,,,,,81.13806449994445,None,81.83796859998256,None,81.83785598995163,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם לאריאל יש שני בנים?,whiteNoise,שער,grey,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\PinkNoise.wav,0,1,1,3,1,7,15,2,,,,,,,,,,,,,,,82.83769940002821,None,83.5372015000321,None,83.53786418996751,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם לאריאל יש שני בנים?,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,84.53775070002303,None,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם איתן גר בישראל?,yes,ןכ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\YEShebYardenSHORT.wav,0,2,2,4,0,0,0,0,,,,,,,,,,,,,86.04005079995841,None,88.0373160999734,None,88.73659830004908,None,88.73725478993728,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
