Question_stim,stim,word,color,sound_target,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,target_quest.started,target_quest.stopped,polygon.started,polygon.stopped,target_word.started,target_word.stopped,target_sound.started,target_sound.stopped,how_much.started,how_much.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,8.678501500049606,10.68083620001562,space,7.890314300078899,8.678501500049606,None,,,,,,,,,,,1,001,2022-03-28_10h52.29.876,TRY1,2022.1.1,59.968972054961114,
האם את גרה באשדוד?,yes,כן,black,YEShebYardenSHORT.wav,0,0,0,1,0,0,0,0,,,,,,,16.615342899924144,None,18.113326499937102,None,20.113584599923342,None,20.113319069938733,None,,,1,001,2022-03-28_10h52.29.876,TRY1,2022.1.1,59.968972054961114,
האם את גרה באשדוד?,whiteNoise,רעש,grey,PinkNoise.wav,0,0,0,1,0,1,1,2,,,,,,,,,20.81302749994211,None,22.813097700010985,None,22.812573569919913,None,,,1,001,2022-03-28_10h52.29.876,TRY1,2022.1.1,59.968972054961114,
האם את גרה באשדוד?,no,לא,black,NOhebYardenSHORT.wav,0,0,0,1,0,2,2,1,,,,,,,,,23.513265899848193,None,25.513337899930775,None,25.51450496991165,None,,,1,001,2022-03-28_10h52.29.876,TRY1,2022.1.1,59.968972054961114,
האם את גרה באשדוד?,no,לא,black,NOhebYardenSHORT.wav,0,0,0,1,1,0,3,1,,,,,,,,,26.212551099946722,None,28.21231810003519,None,28.21200587004423,None,,,1,001,2022-03-28_10h52.29.876,TRY1,2022.1.1,59.968972054961114,
האם את גרה באשדוד?,whiteNoise,רעש,grey,PinkNoise.wav,0,0,0,1,1,1,4,2,,,,,,,,,28.912123000016436,None,30.911536099854857,None,30.91142046996392,None,,,1,001,2022-03-28_10h52.29.876,TRY1,2022.1.1,59.968972054961114,
האם את גרה באשדוד?,yes,כן,black,YEShebYardenSHORT.wav,0,0,0,1,1,2,5,0,,,,,,,,,31.611175999976695,None,33.61084420001134,None,33.61119716996327,None,,,1,001,2022-03-28_10h52.29.876,TRY1,2022.1.1,59.968972054961114,
האם את גרה באשדוד?,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,34.31100449990481,None,1,001,2022-03-28_10h52.29.876,TRY1,2022.1.1,59.968972054961114,
