Question_stim,stim,word,color,sound_target,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,target_quest.started,target_quest.stopped,polygon.started,polygon.stopped,target_word.started,target_word.stopped,target_sound.started,target_sound.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,8.557441200129688,None,lcmd,1.4790374001022428,8.557441200129688,None,,,,,,,,,1,001,2022-03-28_10h40.57.367,TRY1,2022.1.1,60.055587399552756,
האם יש לך חמישה ילדים?,yes,כן,black,YEShebYardenSHORT.wav,0,0,0,2,0,0,0,0,,,,,,,10.093381500104442,None,11.589440500130877,None,13.572963600046933,None,13.572901840042324,None,1,001,2022-03-28_10h40.57.367,TRY1,2022.1.1,60.055587399552756,
האם יש לך חמישה ילדים?,no,לא,black,NOhebYardenSHORT.wav,0,0,0,2,0,1,1,1,,,,,,,,,14.260826400015503,None,16.273586200084537,None,16.27482054005377,None,1,001,2022-03-28_10h40.57.367,TRY1,2022.1.1,60.055587399552756,
האם יש לך חמישה ילדים?,whiteNoise,רעש,grey,PinkNoise.wav,0,0,0,2,0,2,2,2,,,,,,,,,16.97469469998032,None,18.9733101001475,None,18.97355744005181,None,1,001,2022-03-28_10h40.57.367,TRY1,2022.1.1,60.055587399552756,
האם יש לך חמישה ילדים?,whiteNoise,רעש,grey,PinkNoise.wav,0,0,0,2,1,0,3,2,,,,,,,,,19.674859500024468,None,21.67313800007105,None,21.673677239986137,None,1,001,2022-03-28_10h40.57.367,TRY1,2022.1.1,60.055587399552756,
האם יש לך חמישה ילדים?,yes,כן,black,YEShebYardenSHORT.wav,0,0,0,2,1,1,4,0,,,,,,,,,22.359222900122404,None,24.372815400129184,None,24.373222839972005,None,1,001,2022-03-28_10h40.57.367,TRY1,2022.1.1,60.055587399552756,
